Country,Happiness score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,IS_HAPPY,Index of institutional trust,Gini coefficient of income,2021,latitude,longitude
Gabon,4.852,9.603,0.7759999999999999,59.961999999999996,0.731,-0.2,0.84,0,0.10400000000000001,38.02,22.26499939,-0.803689,11.609444
United Kingdom,7.064,10.707,0.934,72.5,0.8590000000000001,0.233,0.45899999999999996,1,0.268,34.07,4.526000023,55.378051,-3.435973
Georgia,4.891,9.585,0.6709999999999999,64.3,0.7829999999999999,-0.23800000000000002,0.655,0,0.198,37.94,10.6590004,42.315407,43.356891999999995
Ghana,5.088,8.58,0.727,57.586000000000006,0.807,0.12300000000000001,0.848,0,0.305,43.52,4.703999996,7.9465270000000015,-1.0231940000000002
Guinea,4.984,7.837999999999999,0.639,55.008,0.6970000000000001,0.095,0.7659999999999999,0,0.349,33.73,6.342000007999999,9.945587,-9.696645
Gambia,5.051,7.686,0.69,55.16,0.6970000000000001,0.424,0.746,0,0.489,35.92,11.21199989,13.443182,-15.310139000000001
Greece,5.723,10.279000000000002,0.823,72.6,0.5820000000000001,-0.28800000000000003,0.823,1,0.124,32.3,14.79500008,39.074208,21.824312
Guatemala,6.435,9.052999999999999,0.813,64.958,0.9059999999999999,-0.038,0.775,1,0.28600000000000003,44.488,3.572000027,15.783470999999999,-90.23075899999999
Hong Kong,5.477,11,0.836,76.82,0.7170000000000001,0.067,0.40299999999999997,0,0.318,48.275,5.315000057,22.396428,114.10949699999999
Honduras,5.919,8.648,0.812,67.3,0.857,0.081,0.809,1,0.209,48.1,8.512999535,15.199998999999998,-86.241905
Croatia,5.882000000000001,10.217,0.924,70.79899999999999,0.754,-0.11800000000000001,0.9390000000000001,1,0.131,29.7,8.682999611,45.1,15.2
Haiti,3.615,7.477,0.54,55.7,0.593,0.42200000000000004,0.721,0,0.21600000000000003,50.945,15.72599983,18.971187,-72.28521500000002
Hungary,5.992000000000001,10.357999999999999,0.943,68,0.755,-0.18600000000000003,0.8759999999999999,1,0.253,28.7,4.116000175,47.162494,19.503304
Indonesia,5.345,9.365,0.8109999999999999,62.236000000000004,0.873,0.542,0.867,0,0.561,37.478,4.413000107,-0.789275,113.921327
India,3.819,8.755,0.603,60.633,0.893,0.08900000000000001,0.774,0,0.526,39.334,5.978000164,20.593684,78.96288
Ireland,7.085,11.342,0.9470000000000001,72.4,0.879,0.077,0.363,1,0.431,30.6,6.632999897,53.41291,-8.243889999999999
Iran,4.721,9.584,0.71,66.3,0.608,0.218,0.7140000000000001,0,0.36700000000000005,39.97,11.46100044,32.427908,53.68804599999999
Iraq,4.854,9.24,0.746,60.583,0.63,-0.053,0.875,0,0.133,33.12,14.19200039,33.223191,43.679291
Iceland,7.553999999999999,10.878,0.983,73,0.955,0.16,0.6729999999999999,1,0.325,24.1,5.401000023,64.96305100000001,-19.020835
Israel,7.157,10.575,0.9390000000000001,73.503,0.8,0.031,0.753,1,0.262,34.4,5.045000076,31.046051000000002,34.851612
Italy,6.483,10.623,0.88,73.8,0.693,-0.084,0.866,1,0.076,33.4,9.833999634,41.87194,12.56738
Jamaica,6.309,9.186,0.877,67.5,0.89,-0.13699999999999998,0.884,1,0.133,37.48,9.18200016,18.109581,-77.297508
Jordan,4.395,9.182,0.767,67,0.755,-0.16699999999999998,0.705,0,0.465,33.1,19.25200081,30.585164000000002,36.238414
Japan,5.94,10.610999999999999,0.884,75.1,0.7959999999999999,-0.258,0.638,1,0.317,33.9,2.799000025,36.204824,138.252924
Kazakhstan,6.152,10.155,0.9520000000000001,65.2,0.853,-0.069,0.733,1,0.35200000000000004,27.45,4.900000095,48.019573,66.923684
Kenya,4.607,8.361,0.688,60.70399999999999,0.779,0.287,0.825,0,0.331,40.78,5.742000103,-0.023559,37.906193
Kyrgyzstan,5.744,8.538,0.893,64.40100000000001,0.935,0.11900000000000001,0.9079999999999999,1,0.18600000000000003,27.34,9.104000092,41.20438,74.766098
Cambodia,4.83,8.36,0.765,62,0.9590000000000001,0.034,0.843,0,0.498,36,0.611999989,12.565679,104.990963
South Korea,5.845,10.651,0.799,73.9,0.672,-0.083,0.727,1,0.11199999999999999,35.5,3.532000065,35.90775700000001,127.766922
Kuwait,6.106,10.817,0.843,66.9,0.867,-0.10400000000000001,0.736,1,0.38799999999999996,36.02,3.713999987,29.311659999999996,47.481766
Laos,5.03,8.947000000000001,0.728,58.968,0.91,0.12300000000000001,0.6579999999999999,0,0.708,36.39,1.258000016,19.856270000000002,102.495496
Lebanon,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,0,0.107,31.83,14.48799992,33.854721000000005,35.862285
Liberia,4.625,7.287999999999999,0.72,56.498000000000005,0.735,0.05,0.85,0,0.273,35.27,4.09499979,6.4280550000000005,-9.429499
Libya,5.41,9.622,0.8270000000000001,62.3,0.7709999999999999,-0.087,0.667,0,0.311,30.2,19.58399963,26.3351,17.228331
Sri Lanka,4.325,9.47,0.8270000000000001,67.29899999999999,0.841,0.079,0.863,0,0.368,41.937,5.394999981000001,7.873054,80.77179699999998
Lesotho,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,0,0.27899999999999997,54.18,24.59799957,-29.609988,28.233608
Lithuania,6.255,10.499,0.935,67.906,0.773,-0.203,0.826,1,0.18899999999999997,36.9,7.902999877999999,55.169438,23.881275
Luxembourg,7.324,11.647,0.9079999999999999,72.6,0.907,-0.034,0.386,1,0.595,30.9,5.2270002369999995,49.815273,6.129583
Latvia,6.032,10.315,0.927,67.1,0.715,-0.162,0.8,1,0.096,35.6,7.599999905,56.879635,24.603189
Morocco,4.918,8.902999999999999,0.56,66.208,0.774,-0.23600000000000002,0.8009999999999999,0,0.397,39.55,11.46700001,31.791702,-7.09262
Moldova,5.766,9.454,0.857,65.699,0.8220000000000001,-0.079,0.9179999999999999,1,0.10400000000000001,25.9,3.961999893,47.411631,28.369884999999996
Madagascar,4.208,7.396,0.6859999999999999,59.305,0.552,-0.005,0.8029999999999999,0,0.312,42.65,2.594000101,-18.766947000000002,46.869107
Maldives,5.1979999999999995,9.826,0.9129999999999999,70.6,0.8540000000000001,0.024,0.825,0,0.327,37.343,6.078000069,3.202778,73.22068
