Country name,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Nicaragua,6624554,6545502,2.491,27.300,0,0.860,9.528,0,0,0.280,46.515,,,,,
Norway,5421242,5347896,8.042,39.700,0,2.676,8.993,0,1,0.606,24.800,40634,40716,40500,41155,9.998
Oman,5106622,4974986,29.354,30.700,0,1.076,8.780,0,0,0.579,30.700,8861,8979,8581,10585,35.272
Panama,4314768,4246439,93.215,29.700,0,0.910,9.568,0,0,0.182,49.800,19482,19720,20332,23876,94.177
Paraguay,7132530,7044636,31.714,26.500,0,0.591,9.726,0,0,0.138,47.400,29021,31258,32362,34139,45.971
Peru,32971846,32510453,114.279,29.100,0,0.636,9.690,0,0,0.096,43.900,98704,112516,114560,214503,323.476
Portugal,10196707,10269417,67.728,46.200,0,3.224,9.207,0,0,0.248,32.100,109283,112692,111474,125500,140.235
Qatar,2881060,2832067,8.504,31.900,0,1.368,8.847,0,0,0.676,30.233,2294,2385,2200,2627,11.692
Serbia,6804596,6944975,47.189,41.200,0,3.134,9.015,0,1,0.221,37.800,103722,101655,102131,114954,181.116
Slovakia,5459643,5454073,39.160,41.200,0,4.655,9.019,0,1,0.195,23.200,53702,54137,53115,60277,121.419
Slovenia,2078932,2087946,129.730,44.500,0,4.308,9.045,0,0,0.177,23.400,20436,20428,20547,24277,182.711
Somalia,15893219,15442905,0.818,16.800,0,0.788,9.031,0,0,0.318,39.700,,,,,
Sudan,43849269,42813238,3.348,19.700,0,1.076,9.066,0,0,0.375,45.050,,,,,
Suriname,586634,581372,20.797,29.600,0,0.821,9.581,0,0,0.274,38.100,,,,,
Eswatini,1160164,1148130,17.670,21.500,0,0.608,9.283,0,0,0.371,51.450,,,,,
Switzerland,8654618,8574832,88.334,43.100,0,5.584,9.078,0,0,0.660,30.100,66703,66888,67515,77087,116.680
Tajikistan,9537642,9321018,0.944,23.300,0,1.135,8.624,0,0,0.554,34.000,32027,32699,33537,41743,95.327
Gambia,2416664,2347706,5.131,17.500,0,1.044,9.393,0,0,0.489,35.920,,,,,
Togo,8278737,8082366,0.821,19.400,0,0.966,9.329,0,1,0.212,43.060,,,,,
Trinidad and Tobago,1399491,1394973,9.075,36.200,1,0.904,9.560,0,1,0.082,47.243,,,,,
Tunisia,11818618,11694719,39.565,32.700,0,3.018,9.118,0,0,0.129,32.820,,,,,
Turkmenistan,5942089,5942089,,,0,1.463,8.735,0,0,0.511,26.500,,,,,
United Arab Emirates,9890400,9770529,6.764,34.000,0,1.199,8.821,0,0,0.694,38.300,,,,,
Uruguay,3473727,3461734,5.210,35.600,0,0.572,9.711,0,0,0.247,39.250,,,,,
Uzbekistan,33469199,33580650,1.834,28.200,0,1.141,8.620,0,0,0.435,39.700,160723,154913,154570,175637,56.381
Yemen,29825968,29161922,2.045,20.300,0,1.005,8.966,0,0,0.267,36.710,,,,,
Kosovo,1932774,1794248,68.916,35.000,0,3.134,9.015,0,1,0.169,29.010,8738,8866,9552,11108,110.329
Somaliland region,,,,,0,,,0,0,,,,,,,
North Cyprus,,,,,0,,,0,0,0.305,,,,,,
South Sudan,11193729,11062113,0.563,19.200,0,1.076,9.066,0,0,0.179,46.340,,,,,
