Country name,Happiness score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,IS_HAPPY
Mozambique,4.794,7.1579999999999995,0.7440000000000001,54.706,0.882,0.061,0.684,0
Nigeria,4.7589999999999995,8.533,0.74,50.102,0.737,0.037000000000000005,0.878,0
Mali,4.723,7.744,0.7240000000000001,51.968999999999994,0.6970000000000001,-0.036000000000000004,0.8270000000000001,0
Iran,4.721,9.584,0.71,66.3,0.608,0.218,0.7140000000000001,0
Uganda,4.636,7.6770000000000005,0.7809999999999999,56.101000000000006,0.7090000000000001,0.122,0.855,0
Liberia,4.625,7.287999999999999,0.72,56.498000000000005,0.735,0.05,0.85,0
Kenya,4.607,8.361,0.688,60.70399999999999,0.779,0.287,0.825,0
Tunisia,4.596,9.266,0.691,67.20100000000001,0.6559999999999999,-0.201,0.87,0
Lebanon,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,0
Namibia,4.574,9.161,0.818,56.799,0.7190000000000001,-0.149,0.847,0
Palestinian Territories,4.5169999999999995,8.485,0.826,62.25,0.653,-0.163,0.821,0
Myanmar,4.426,8.541,0.779,59.302,0.8759999999999999,0.509,0.66,0
Jordan,4.395,9.182,0.767,67.0,0.755,-0.16699999999999998,0.705,0
Chad,4.355,7.364,0.619,48.478,0.579,0.040999999999999995,0.807,0
Sri Lanka,4.325,9.47,0.8270000000000001,67.29899999999999,0.841,0.079,0.863,0
Swaziland,4.308,9.065,0.77,50.833,0.647,-0.185,0.708,0
Comoros,4.289,8.031,0.626,57.349,0.5479999999999999,0.08199999999999999,0.7809999999999999,0
Egypt,4.283,9.367,0.75,61.998000000000005,0.7490000000000001,-0.182,0.795,0
Ethiopia,4.275,7.694,0.764,59.0,0.752,0.08199999999999999,0.7609999999999999,0
Mauritania,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,0
Madagascar,4.208,7.396,0.6859999999999999,59.305,0.552,-0.005,0.8029999999999999,0
Togo,4.107,7.362,0.569,54.913999999999994,0.619,0.032,0.772,0
Zambia,4.073,8.145,0.708,55.809,0.782,0.061,0.823,0
Sierra Leone,3.8489999999999998,7.434,0.63,51.651,0.7170000000000001,0.084,0.866,0
India,3.819,8.755,0.603,60.633,0.893,0.08900000000000001,0.774,0
Burundi,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,0
Yemen,3.658,7.577999999999999,0.8320000000000001,57.122,0.602,-0.147,0.8,0
Tanzania,3.623,7.876,0.7020000000000001,57.998999999999995,0.833,0.183,0.5770000000000001,0
Haiti,3.615,7.477,0.54,55.7,0.593,0.42200000000000004,0.721,0
Malawi,3.6,6.957999999999999,0.537,57.948,0.78,0.038,0.7290000000000001,0
Lesotho,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,0
Botswana,3.467,9.782,0.784,59.269,0.8240000000000001,-0.24600000000000002,0.8009999999999999,0
Rwanda,3.415,7.676,0.552,61.4,0.897,0.061,0.16699999999999998,0
Zimbabwe,3.145,7.943,0.75,56.201,0.677,-0.047,0.821,0
Afghanistan,2.523,7.695,0.46299999999999997,52.493,0.382,-0.102,0.924,0
