Country name,Unemployment rate
Virgin Islands (U.S.),13.26500034
Vietnam,2.165999889
Vanuatu,2.180000067
World,6.177190483
Samoa,9.836999893
Kosovo,
Yemen,13.57400036
South Africa,33.55899811
Zambia,13.02600002
Zimbabwe,5.173999786
